"ch","s"
"尺","['chyek']"
"璧","['pyek']"
"非","['pi']"
"寶","['pwo']"
"寸","['chwon']"
"陰","['Gum']"
"是","['si']"
"競","['kyeG']"
"資","['co']"
"父","['pwu']"
"事","['so']"
"君","['kwun']"
"曰","['Gwal']"
"嚴","['Gem']"
"與","['Gye']"
"敬","['kyeG']"
"孝","['hyo']"
"當","['taG']"
"竭","['kal']"
"力","['nyek']"
"忠","['thyuG']"
"則","['cuk']"
"盡","['cin']"
"命","['myeG']"
"臨","['lim']"
"深","['sim']"
"履","['li']"
"薄","['pak']"
"夙","['syu']"
"興","['huG']"
"溫","['Gwon']"
"淸","['chyeG']"
"似","['so']"
"蘭","['nan']"
"斯","['so']"
"馨","['haG']"
"如","['Gye']"
"松","['syoG']"
"之","['ci']"
"盛","['syeG']"
"川","['chyen']"
"流","['lyu']"
"不","['pul']"
"息","['sik']"
"淵","['Gyen']"
"澄","['tiG']"
"取","['cyuy']"
"映","['GyeG']"
"容","['GwoG']"
"止","['ci']"
"若","['Gyak']"
"思","['so']"
"言","['Gen']"
"辭","['so']"
"安","['Gan']"
"定","['tyeG']"
"篤","['twok']"
"初","['chwo']"
"誠","['syeG']"
"美","['mi']"
"愼","['sin']"
"終","['cyoG']"
"宜","['Guy']"
"令","['lyeG']"
"榮","['GyeG']"
"業","['Gep']"
"所","['swo']"
"基","['kuy']"
"籍","['cyek']"
"甚","['sim']"
"無","['mwu']"
"竟","['kyeG']"
"學","['hoyk']"
"優","['Gwu']"
"登","['tuG']"
"仕","['so']"
"攝","['syep']"
"職","['cik']"
"從","['cyoG']"
"政","['cyeG']"
"存","['cwon']"
"以","['Gi']"
"甘","['kam']"
"棠","['taG']"
"去","['ke']"
"而","['Gi']"
"益","['Gik']"
"詠","['GyeG']"
"樂","['lak']"
"殊","['syu']"
"貴","['kwuy']"
"賤","['chyen']"
"禮","['lyey']"
"別","['pyel']"
"尊","['cwon']"
"卑","['pi']"
"上","['syaG']"
"和","['hwa']"
"下","['ha']"
"睦","['mwok']"
"夫","['pwu']"
"唱","['chyaG']"
"婦","['pwu']"
"隨","['syu']"
"外","['Gwoy']"
"受","['syu']"
"傅","['pwu']"
"訓","['hwun']"
"入","['Gip']"
"奉","['pwoG']"
"母","['mwo']"
"儀","['Guy']"
"諸","['cyey']"
"姑","['kwo']"
"伯","['poyk']"
"叔","['syuk']"
"猶","['Gyu']"
"子","['co']"
"比","['pi']"
"兒","['Go']"
"孔","['kwoG']"
"懷","['hwoy']"
"兄","['hyeG']"
"弟","['tyey']"
"同","['twoG']"
"氣","['skuy']"
"連","['lyen']"
"枝","['ci']"
"交","['kyo']"
"友","['Gwu']"
"投","['thwu']"
"分","['pwun']"
"切","['cyel']"
"磨","['ma']"
"箴","['com']"
"規","['kyu']"
"仁","['Gin']"
"慈","['co']"
"隱","['Gun']"
"惻","['chuk']"
"造","['cwo']"
"次","['cho']"
"弗","['pul']"
"離","['li']"
"節","['cyel']"
"義","['Guy']"
"廉","['lyem']"
"退","['thwoy']"
"顚","['tyen']"
"沛","['phay']"
"匪","['pi']"
"虧","['hyu']"
"性","['syeG']"
"靜","['cyeG']"
"情","['cyeG']"
"逸","['Gil']"
"心","['sim']"
"動","['twoG']"
"神","['sin']"
"疲","['phi']"
"守","['syu']"
"眞","['cin']"
"志","['ci']"
"滿","['man']"
"逐","['thyuk']"
"物","['mul']"
"意","['Guy']"
"移","['Gi']"
"堅","['kyen']"
"持","['sti']"
"雅","['Ga']"
"操","['cwo']"
"好","['hwo']"
"爵","['cyak']"
"自","['co']"
"縻","['mi']"
"都","['two']"
"邑","['Gup']"
"華","['hwa']"
"夏","['ha']"
"東","['twoG']"
"西","['sye']"
"二","['Gi']"
"京","['kyeG']"
"背","['poy']"
"邙","['maG']"
"面","['myen']"
"洛","['nak']"
"浮","['pwu']"
"渭","['Gwuy']"
"據","['ke']"
"涇","['kyeG']"
"宮","['kwuG']"
"殿","['tyen']"
"盤","['pan']"
"鬱","['Gwul']"
"樓","['lwu']"
"觀","['kwan']"
"飛","['pi']"
"驚","['kyeG']"
"圖","['two']"
"寫","['sya']"
"禽","['kum']"
"獸","['syu']"
"畵","['hwa']"
"綵","['choy']"
"仙","['syen']"
"靈","['lyeG']"
"丙","['pyeG']"
"舍","['sya']"
"傍","['paG']"
"啓","['kyey']"
"甲","['kap']"
"帳","['tyaG']"
"對","['toy']"
"楹","['GyeG']"
"肆","['so']"
"筵","['Gyen']"
"設","['syel']"
"席","['syek']"
"鼓","['kwo']"
"瑟","['sul']"
"吹","['chyuy']"
"笙","['soyG']"
"陞","['suG']"
"階","['kyey']"
"納","['nap']"
"陛","['phyey']"
"弁","['pyen']"
"轉","['tyen']"
"疑","['Guy']"
"星","['syeG']"
"右","['Gwu']"
"通","['thwoG']"
"廣","['kwaG']"
"內","['noy']"
"左","['cwa']"
"達","['tal']"
"丞","['suG']"
"明","['myeG']"
"旣","['kuy']"
"集","['cip']"
"墳","['pwun']"
"典","['tyen']"
"亦","['Gyek']"
"聚","['chyuy']"
"群","['kwun']"
"英","['GyeG']"
"杜","['twu']"
"藁","['kwo']"
"鍾","['cyoG']"
"隷","['Gyey']"
"漆","['chil']"
"書","['sye']"
"壁","['pyek']"
"經","['kyeG']"
"府","['pwu']"
"羅","['la']"
"將","['cyaG']"
"相","['syaG']"
"路","['lwo']"
"俠","['hyep']"
"槐","['kwoy']"
"卿","['kyeG']"
"戶","['hwo']"
"封","['pwoG']"
"八","['phal']"
"縣","['hyen']"
"家","['ka']"
"給","['kup']"
"千","['chyen']"
"兵","['pyeG']"
"高","['kwo']"
"冠","['kwan']"
"陪","['poy']"
"輦","['nyen']"
"驅","['kwu']"
"轂","['kwok']"
"振","['cin']"
"纓","['GyeG']"
"世","['syey']"
"祿","['nwok']"
"侈","['chi']"
"富","['pwu']"
"車","['chya']"
"駕","['ka']"
"肥","['pi']"
"輕","['kyeG']"
"策","['choyk']"
"功","['kwoG']"
"茂","['mwu']"
"實","['sil']"
"勒","['luk']"
"碑","['pi']"
"刻","['kok']"
"銘","['myeG']"
"磻","['pan']"
"溪","['kyey']"
"伊","['Gi']"
"尹","['Gyun']"
"佐","['cwa']"
"時","['si']"
"阿","['Ga']"
"衡","['hyeG']"
"奄","['Gem']"
"宅","['thoyk']"
"曲","['kwok']"
"阜","['pwu']"
"微","['mi']"
"旦","['tan']"
"孰","['syuk']"
"營","['GyeG']"
"桓","['hwan']"
"公","['kwoG']"
"匡","['kwaG']"
"合","['hap']"
"濟","['cyey']"
"弱","['Gyak']"
"扶","['pwu']"
"傾","['kyeG']"
"綺","['kuy']"
"廻","['hwoy']"
"漢","['han']"
"惠","['hyey']"
"說","['syel']"
"感","['kam']"
"武","['mwu']"
"丁","['tyeG']"
"俊","['cyun']"
"乂","['Gay']"
"密","['mil']"
"勿","['mul']"
"多","['ta']"
"士","['so']"
"寔","['sik']"
"寧","['lyeG']"
"晋","['cin']"
"楚","['chwo']"
"更","['koyG']"
"覇","['phay']"
"趙","['tyo']"
"魏","['Gwuy']"
"困","['kwon']"
"橫","['hwoyG']"
"假","['ka']"
"途","['two']"
"滅","['myel']"
"虢","['kwoyk']"
"踐","['chyen']"
"土","['thwo']"
"會","['hwoy']"
"盟","['moyG']"
"何","['ha']"
"遵","['cwun']"
"約","['Gyak']"
"法","['pep']"
"韓","['han']"
"弊","['phyey']"
"煩","['pen']"
"刑","['hyeG']"
"起","['kuy']"
"翦","['cyen']"
"頗","['pha']"
"牧","['muk']"
"用","['GyoG']"
"軍","['kwun']"
"最","['chwoy']"
"精","['cyeG']"
"宣","['syen']"
"威","['Gwuy']"
"沙","['sa']"
"漠","['mak']"
"馳","['thi']"
"譽","['Gyey']"
"丹","['tan']"
"靑","['chyeG']"
"九","['kwu']"
"州","['cyuy']"
"禹","['Gwu']"
"跡","['cyek']"
"百","['poyk']"
"郡","['kwun']"
"秦","['cin']"
"幷","['pyeG']"
"嶽","['Gak']"
"宗","['cwoG']"
"恒","['hoG']"
"岱","['toy']"
"禪","['syen']"
"主","['cyu']"
"云","['Gwun']"
"亭","['tyeG']"
"鴈","['Gan']"
"門","['mwun']"
"紫","['co']"
"塞","['soyk']"
"鷄","['kyey']"
"田","['tyen']"
"赤","['cyek']"
"城","['syeG']"
"昆","['kwon']"
"池","['ti']"
"碣","['kal']"
"石","['syek']"
"鉅","['ke']"
"野","['Gya']"
"洞","['twoG']"
"庭","['tyeG']"
"曠","['kwaG']"
"遠","['Gwen']"
"綿","['myen']"
"邈","['mak']"
"巖","['Gam']"
"岫","['syu']"
"杳","['myo']"
"冥","['myeG']"
"治","['thi']"
"本","['pwon']"
"於","['Ge']"
"農","['lwoG']"
"務","['mwu']"
"玆","['co']"
"稼","['ka']"
"穡","['soyk']"
"俶","['syuk']"
"載","['coy']"
"南","['nam']"
"畝","['myo']"
"我","['Ga']"
"藝","['Gyey']"
"黍","['sye']"
"稷","['cik']"
"稅","['syey']"
"熟","['syuk']"
"貢","['kwoG']"
"新","['sin']"
"勸","['kwen']"
"賞","['syaG']"
"黜","['thyul']"
"陟","['thyek']"
"孟","['moyG']"
"軻","['ka']"
"敦","['twon']"
"素","['swo']"
"史","['so']"
"魚","['Ge']"
"秉","['pyeG']"
"直","['tik']"
"庶","['sye']"
"幾","['kuy']"
"中","['tyuG']"
"庸","['GyoG']"
"勞","['lwo']"
"謙","['kyem']"
"謹","['kun']"
"勅","['thik']"
"聆","['lyeG']"
"音","['Gum']"
"察","['chal']"
"理","['li']"
"鑑","['kam']"
"貌","['mwo']"
"辨","['pyen']"
"色","['soyk']"
"貽","['Gi']"
"厥","['kwel']"
"嘉","['ka']"
"猷","['Gyu']"
"勉","['myen']"
"其","['ki']"
"祗","['ci']"
"植","['sik']"
"省","['soyG']"
"躬","['kwuG']"
"譏","['kuy']"
"誡","['kyey']"
"寵","['thyoG']"
"增","['cuG']"
"抗","['haG']"
"極","['kuk']"
"殆","['thoy']"
"辱","['Gyok']"
"近","['kun']"
"恥","['thi']"
"林","['lim']"
"睾","['kwo']"
"幸","['hoyG']"
"卽","['cuk']"
"兩","['nyaG']"
"疎","['swo']"
"見","['kyen']"
"機","['kuy']"
"解","['hoy']"
"組","['cwo']"
"誰","['syu']"
"逼","['phip']"
"索","['sak']"
"居","['ke']"
"閑","['han']"
"處","['chye']"
"沈","['thim']"
"黙","['muk']"
"寂","['cyek']"
"寥","['lyo']"
"求","['kwu']"
"古","['kwo']"
"尋","['sim']"
"論","['nwon']"
"散","['san']"
"慮","['lye']"
"逍","['syo']"
"遙","['Gyo']"
"欣","['hun']"
"奏","['cwu']"
"累","['lyu']"
"遣","['kyen']"
"戚","['chyek']"
"謝","['sya']"
"歡","['hwan']"
"招","['thyo']"
"渠","['ke']"
"荷","['ha']"
"的","['tyek']"
"歷","['lyek']"
"園","['Gwen']"
"莽","['maG']"
"抽","['tyu']"
"條","['tyo']"
"枇","['phi']"
"杷","['pha']"
"晩","['man']"
"翠","['chyuy']"
"梧","['Gwo']"
"桐","['twoG']"
"早","['cwo']"
"彫","['tyo']"
"陳","['tin']"
"根","['kun']"
"委","['Gwuy']"
"翳","['Gyey']"
"落","['lak']"
"葉","['Gyep']"
"飄","['phyo']"
"颻","['Gyo']"
"遊","['Gyu']"
"鵾","['kwon']"
"獨","['twok']"
"運","['Gwun']"
"凌","['luG']"
"摩","['ma']"
"絳","['kaG']"
"霄","['syo']"
"耽","['tham']"
"讀","['twok']"
"翫","['Gwan']"
"市","['si']"
"寓","['Gwu']"
"目","['mwok']"
"囊","['laG']"
"箱","['syaG']"
"易","['zyek']"
"輶","['Gyu']"
"攸","['Gyu']"
"畏","['Gwoy']"
"屬","['syok']"
"耳","['Gi']"
"垣","['Gwen']"
"墻","['cyaG']"
"具","['kwu']"
"膳","['syen']"
"飡","['chan']"
"飯","['pan']"
"適","['tyek']"
"口","['kwu']"
"充","['chyuG']"
"腸","['tyaG']"
"飽","['phwo']"
"飫","['Ge']"
"烹","['phoyG']"
"宰","['coy']"
"飢","['kuy']"
"厭","['Gyem']"
"糟","['cwo']"
"糠","['kyaG']"
"親","['chin']"
"戚","['chyek']"
"故","['kwo']"
"舊","['kwu']"
"老","['lwo']"
"少","['syo']"
"異","['Gi']"
"粮","['laG']"
"妾","['chyep']"
"御","['Ge']"
"紡","['paG']"
"績","['cyek']"
"侍","['si']"
"巾","['ken']"
"帷","['Gyu']"
"房","['paG']"
"紈","['hwan']"
"扇","['syen']"
"圓","['Gwen']"
"潔","['kyel']"
"銀","['Gun']"
"燭","['chyok']"
"煒","['hwuy']"
"煌","['hwaG']"
"晝","['tyu']"
"眠","['myen']"
"夕","['syek']"
"寐","['moy']"
"藍","['nam']"
"筍","['syun']"
"象","['syaG']"
"床","['saG']"
"絃","['hyen']"
"歌","['ka']"
"酒","['cyu']"
"讌","['Gyen']"
"接","['cyep']"
"杯","['poy']"
"擧","['ke']"
"觴","['syaG']"
"矯","['kyo']"
"手","['syu']"
"頓","['twon']"
"足","['cyok']"
"悅","['Gyel']"
"豫","['Gyey']"
"且","['chya']"
"康","['kaG']"
"嫡","['tyek']"
"後","['hwu']"
"嗣","['so']"
"續","['syok']"
"祭","['cyey']"
"祀","['so']"
"蒸","['cuG']"
"嘗","['syaG']"
"稽","['kyey']"
"顙","['saG']"
"再","['coy']"
"拜","['poy']"
"悚","['swok']"
"懼","['kwu']"
"恐","['kwoG']"
"惶","['hwaG']"
"牋","['cyen']"
"牒","['thyep']"
"簡","['kan']"
"要","['Gyo']"
"顧","['kwo']"
"答","['tap']"
"審","['sim']"
"詳","['syaG']"
"骸","['hoy']"
"垢","['kwu']"
"想","['syaG']"
"浴","['Gyok']"
"執","['cip']"
"熱","['Gyel']"
"願","['Gwen']"
"凉","['lyaG']"
"驢","['lye']"
"騾","['lwo']"
"犢","['twok']"
"特","['thuk']"
"駭","['hoy']"
"躍","['Gyak']"
"超","['thyo']"
"驤","['GyaG']"
"誅","['tyu']"
"斬","['cham']"
"賊","['cek']"
"盜","['two']"
"捕","['pwo']"
"獲","['hwoyk']"
"叛","['pan']"
"亡","['maG']"
"布","['phwo']"
"射","['sya']"
"遼","['lyo']"
"丸","['hwan']"
"嵆","['hoy']"
"琴","['kum']"
"阮","['Gwan']"
"嘯","['syo']"
"恬","['lyem']"
"筆","['phil']"
"倫","['lyun']"
"紙","['ci']"
"鈞","['kyun']"
"巧","['kyo']"
"任","['Gim']"
"釣","['tyo']"
"釋","['syek']"
"紛","['pwun']"
"利","['li']"
"俗","['syok']"
"並","['pyeG']"
"皆","['koy']"
"佳","['ka']"
"妙","['myo']"
"毛","['mwo']"
"施","['si']"
"淑","['syuk']"
"姿","['co']"
"工","['kwoG']"
"嚬","['piG']"
"姸","['Gyen']"
"笑","['syo']"
"年","['nyen']"
"矢","['si']"
"每","['moy']"
"催","['chwoy']"
"羲","['huy']"
"暉","['hwuy']"
"朗","['laG']"
"曜","['Gyo']"
"璇","['syen']"
"璣","['kuy']"
"懸","['hyen']"
"幹","['kan']"
"晦","['hwoy']"
"魄","['poyk']"
"環","['hwan']"
"照","['cyo']"
"指","['ci']"
"薪","['sin']"
"脩","['syu']"
"祐","['Gwu']"
"永","['GyeG']"
"綏","['Gyu']"
"吉","['kil']"
"邵","['syo']"
"矩","['kwu']"
"步","['pwo']"
"引","['Gin']"
"領","['lyeG']"
"俯","['pwu']"
"仰","['GaG']"
"廊","['naG']"
"廟","['myo']"
"束","['swok']"
"帶","['toy']"
"矜","['skuG']"
"莊","['cyaG']"
"徘","['poy']"
"佪","['hwoy']"
"瞻","['chyem']"
"眺","['two']"
"孤","['kwo']"
"陋","['lwu']"
"寡","['kwa']"
"聞","['mwun']"
"愚","['Gwu']"
"蒙","['mwoG']"
"等","['tuG']"
"誚","['chyo']"
"謂","['Gwuy']"
"語","['Ge']"
"助","['cwo']"
"者","['cya']"
"焉","['Gen']"
"哉","['coy']"
"乎","['hwo']"
"也","['Gya']"
"一","['Gil']"
"二","['Gi']"
"三","['sam']"
"四","['so']"
"五","['Gwo']"
"六","['nyuk']"
"七","['chil']"
"八","['phal']"
"九","['kwu']"
"十","['sip']"
"百","['poyk']"
"千","['chyen']"
"萬","['man']"
"億","['Gek']"
"能","['luG']"
"察","['chal']"
"字","['co']"
"畵","['hwoyk']"
"初","['chwo', 'chwo']"
"知","['ti']"
"筭","['san']"
"數","['swu']"
"可","['ka']"
"達","['tal']"
"天","['thyen']"
"覆","['pwu']"
"地","['ti']"
"載","['coy']"
"乾","['ken']"
"坤","['kwon']"
"分","['pwun']"
"位","['Gwuy']"
"東","['twoG']"
"西","['sye']"
"南","['nam', 'nam']"
"北","['puk', 'puk']"
"上","['syaG']"
"下","['ha']"
"中","['tyuG']"
"外","['Gwoy']"
"左","['cwa']"
"右","['Gwu']"
"前","['cyen']"
"後","['hwu']"
"邊","['pyen']"
"隅","['Gwu']"
"裏","['ni']"
"內","['noy']"
"日","['Gil']"
"月","['Gwel']"
"照","['cyo']"
"臨","['lim']"
"星","['syeG']"
"辰","['sin']"
"森","['som', 'som']"
"列","['nyel']"
"春","['chyun']"
"夏","['ha']"
"秋","['chyu']"
"冬","['twoG']"
"溫","['Gwon']"
"凉","['laG']"
"寒","['han']"
"熱","['Gyel']"
"輪","['lyun']"
"轉","['tyen']"
"環","['hwan']"
"廻","['hwoy']"
"次","['cho', 'cho']"
"第","['tyey']"
"時","['si']"
"節","['cyel']"
"晝","['tyu']"
"夜","['Gya']"
"朝","['tyo']"
"夕","['syek']"
"曉","['hyo']"
"宵","['syo']"
"翌","['Gik']"
"昨","['cak']"
"旦","['tan', 'tyo']"
"暮","['mwo']"
"晨","['sin']"
"昏","['hwon']"
"旬","['syun']"
"望","['maG', 'maG']"
"晦","['hwoy']"
"朔","['sak']"
"晴","['chyeG']"
"曀","['Gyey']"
"明","['myeG']"
"暗","['Gam']"
"交","['kyo']"
"宣","['syen']"
"迭","['til']"
"作","['cak']"
"風","['phwuG']"
"雨","['Gwu']"
"霜","['saG']"
"露","['lwo']"
"冰","['piG']"
"雪","['syel']"
"霰","['syen']"
"雹","['pak']"
"煙","['Gyen']"
"霞","['ha']"
"雲","['Gwun']"
"霧","['mwu']"
"雷","['lwoy']"
"電","['tyen']"
"霹","['pyek']"
"靂","['lyek']"
"虹","['hwoG']"
"霓","['Gyey']"
"霖","['lim']"
"旱","['han']"
"氣","['kuy']"
"候","['hwu']"
"改","['koy']"
"易","['Gyek', 'Gi']"
"陰","['Gum']"
"陽","['GyaG']"
"相","['syaG']"
"代","['toy']"
"歲","['syey']"
"年","['nyen']"
"成","['syeG']"
"歷","['lyek']"
"靑","['chyeG']"
"黃","['hwaG']"
"赤","['cyek']"
"白","['poyk']"
"碧","['pyek']"
"綠","['lwok']"
"玄","['hyen']"
"黑","['huk']"
"朱","['cyu']"
"翠","['chyuy']"
"紅","['hwoG']"
"紫","['co']"
"輝","['hwuy']"
"映","['GyeG']"
"衆","['cyuG']"
"色","['soyk']"
"山","['san']"
"川","['chyen']"
"溪","['kyey']"
"澗","['kan']"
"峯","['pwoG']"
"巒","['man']"
"丘","['kwu']"
"岸","['Gan']"
"巖","['Gam']"
"樹","['syu']"
"林","['lim']"
"泉","['chyen']"
"洞","['twoG']"
"谷","['kwok']"
"池","['ti']"
"淵","['Gyen']"
"郊","['kyo']"
"野","['Gya']"
"澤","['thoyk']"
"藪","['swu']"
"田","['tyen']"
"原","['Gwen']"
"畦","['kyu']"
"畝","['mwo', 'mwo']"
"水","['syu']"
"火","['hwa']"
"灰","['hwoy']"
"塵","['tin']"
"沙","['sa']"
"石","['syek']"
"泥","['ni']"
"土","['thwo']"
"海","['hoy']"
"島","['two']"
"江","['kaG']"
"湖","['hwo']"
"汀","['tyeG']"
"洲","['cyu']"
"渚","['cye']"
"浦","['pwo']"
"潮","['tyo']"
"浪","['laG']"
"波","['pha']"
"濤","['two']"
"連","['lyen']"
"接","['cyep']"
"縹","['phyo', 'phyo']"
"緲","['myo', 'myo']"
"草","['chwo']"
"木","['mwok']"
"鳥","['tyo']"
"獸","['syu']"
"各","['kak']"
"有","['Gyu']"
"名","['myeG']"
"號","['hwo']"
"芝","['ci']"
"蘭","['nan']"
"萱","['hwen']"
"菊","['kwuk']"
"薯","['sye']"
"藇","['Gye']"
"苜","['mwok']"
"蓿","['syuk']"
"牡","['mwo', 'mwo']"
"丹","['tan', 'tan']"
"芍","['cyak']"
"藥","['Gyak', 'Gyak']"
"薔","['cyaG']"
"薇","['mi']"
"躅","['thyok']"
"躑","['thyek']"
"芭","['pha']"
"蕉","['chyo']"
"菖","['chyaG']"
"蒲","['phwo', 'phwo']"
"篁","['hwaG']"
"竹","['tyuk']"
"葦","['Gwuy']"
"蘆","['lwo']"
"蓮","['nyen']"
"荷","['ha', 'ha']"
"蘋","['pin']"
"藻","['cwo']"
"藤","['tuG']"
"葛","['kal']"
"藍","['nam']"
"蓼","['lyo']"
"蔘","['som', 'som']"
"朮","['thyul']"
"苔","['thoy']"
"蘚","['syen']"
"蓬","['pwoG', 'pwoG']"
"艾","['Gay']"
"藜","['lye']"
"莧","['hyen']"
"根","['kun']"
"荄","['hoy']"
"幹","['kan']"
"莖","['koyG']"
"花","['hwa']"
"葉","['Gyep']"
"蕃","['pen']"
"榮","['GyeG']"
"松","['syoG']"
"栢","['poyk']"
"椿","['chyun']"
"桂","['kyey']"
"楓","['phwuG']"
"桑","['saG']"
"槐","['hwoy']"
"檜","['hwoy']"
"楸","['chyu']"
"椴","['tan']"
"楩","['phyen']"
"楠","['nam']"
"楮","['tye']"
"柘","['cya']"
"檀","['tan', 'tan']"
"杉","['sam']"
"梧","['Gwo']"
"桐","['twoG']"
"楊","['GyaG']"
"柳","['lyu']"
"材","['coy']"
"用","['GyoG']"
"備","['pi']"
"具","['kwu']"
"梅","['moy', 'moy']"
"梨","['li']"
"榴","['nyu']"
"栗","['nyul']"
"桃","['two']"
"李","['ni']"
"柑","['kam']"
"橘","['kyul']"
"櫻","['GoyG']"
"杏","['hoyG']"
"柰","['nay']"
"柿","['si']"
"椒","['chyo']"
"榛","['cin']"
"棗","['cwo']"
"榧","['pi']"
"著","['thyak', 'tye']"
"子","['co']"
"甘","['kam']"
"酸","['san']"
"果","['kwa']"
"實","['sil']"
"多","['ta']"
"般","['pan']"
"稻","['two']"
"黍","['sye']"
"稷","['cik']"
"粟","['swok']"
"麰","['mwo']"
"麥","['moyk']"
"豆","['twu']"
"菽","['syuk']"
"苗","['myo']"
"抽","['thyu']"
"穗","['syu']"
"熟","['syuk']"
"謂","['Gwuy']"
"之","['ci']"
"禾","['hwa']"
"穀","['kwok']"
"薑","['kaG']"
"芋","['Gwu']"
"葱","['chwoG']"
"薤","['hoy']"
"葵","['kyu']"
"蔔","['pwok']"
"菁","['chyeG']"
"芥","['kay']"
"柔","['Gyu']"
"蕨","['kwel']"
"嫩","['nwon']"
"笋","['syun']"
"香","['hyaG']"
"蔬","['swo']"
"豊","['phwuG']"
"菌","['kyun']"
"茄","['ka']"
"瓜","['kwa']"
"芹","['kun']"
"蓴","['syun']"
"菜","['choy']"
"食","['sik', 'so']"
"芳","['paG']"
"新","['sin']"
"鳳","['pwoG']"
"凰","['hwaG']"
"鸞","['nan']"
"鵠","['kwok']"
"鷗","['kwu']"
"鷺","['lwo']"
"鸛","['kwan']"
"鶴","['hak']"
"鴻","['hwoG']"
"鴈","['Gan']"
"鸂","['kyey']"
"鶒","['thik']"
"鳩","['kwu']"
"鸎","['GoyG']"
"烏","['Gwo']"
"鵲","['cyak']"
"鸚","['GoyG']"
"鵡","['mwu']"
"鴛","['Gwen']"
"鴦","['GaG']"
"鵝","['Ga']"
"鴨","['Gap']"
"鵰","['tyo']"
"鶚","['Gak']"
"鷹","['GuG']"
"鶻","['kwol']"
"鸇","['cyen']"
"鷁","['Goyk']"
"雞","['kyey']"
"雉","['thi']"
"燕","['Gyen']"
"雀","['cyak']"
"鵑","['kyen']"
"蝠","['pwok']"
"鴟","['chi']"
"鴞","['hyo']"
"鵂","['hyu']"
"鶹","['lyu']"
"鷦","['chyo']"
"鷯","['lyo']"
"巢","['swo']"
"栖","['sye']"
"雛","['chwu']"
"卵","['lan']"
"雄","['GwuG']"
"雌","['co']"
"孕","['GiG']"
"産","['san']"
"翼","['Gik']"
"飛","['pi']"
"觜","['chᆐ']"
"啄","['thak']"
"肆","['so', 'so']"
"稱","['chiG']"
"羽","['Gwu']"
"族","['cwok']"
"麒","['kuy']"
"麟","['lin']"
"熊","['GwuG']"
"羆","['pi']"
"虎","['hwo']"
"豹","['phyo']"
"獺","['tal']"
"犀","['sye']"
"猿","['Gwen']"
"猴","['hwu']"
"鹿","['nwok']"
"麞","['cyaG']"
"狐","['hwo']"
"免","['thwo']"
"豺","['suy']"
"狼","['laG']"
"牛","['Gwu']"
"馬","['ma']"
"槖","['thak', 'pak']"
"駝","['tha']"
"駒","['kwu']"
"犢","['twok']"
"驢","['lye']"
"騾","['la']"
"羔","['kwo']"
"羊","['GyaG']"
"豬","['tye']"
"羖","['kwo']"
"犬","['kyen']"
"狗","['kwu']"
"猫","['myo']"
"鼠","['sye']"
"蹄","['tyey']"
"爪","['cwo']"
"角","['kak']"
"尾","['mi']"
"受","['syu']"
"生","['soyG']"
"區","['kwu']"
"異","['Gi']"
"鳴","['myeG']"
"吠","['phyey']"
"馳","['thi']"
"奔","['pwun']"
"亦","['Gyek']"
"曰","['Gwal']"
"毛","['mwo']"
"群","['kwun']"
"龍","['lyoG']"
"龜","['kwuy']"
"魚","['Ge']"
"蟹","['hoy']"
"蚌","['paG']"
"蛤","['hap']"
"螺","['la']"
"貝","['phay']"
"鯨","['kyeG']"
"鯢","['Gyey']"
"鱣","['cyen']"
"鮪","['Gyu']"
"鼉","['tha']"
"鼈","['pyel']"
"鱸","['lwo']"
"鯉","['li']"
"腥","['syeG']"
"鱗","['lin']"
"怪","['kwoy']"
"狀","['saG']"
"怕","['pha']"
"逃","['two']"
"鉤","['kwu']"
"網","['maG']"
"蜂","['pwoG']"
"蟻","['Guy']"
"蟬","['syen']"
"螢","['hyeG']"
"蝴","['hwo']"
"蝶","['tyep']"
"蜻","['chyeG']"
"蜓","['tyeG']"
"蛇","['sya']"
"蚓","['Gin']"
"蟾","['syem']"
"蛙","['Gwa']"
"蝌","['kwa']"
"蚪","['twu']"
"蝦","['ha', 'ha']"
"蟆","['ma']"
"蠶","['com']"
"蛾","['Ga']"
"蚇","['chyek']"
"蠖","['hwak']"
"蜘","['ti']"
"蛛","['tyu']"
"蟋","['sil']"
"蟀","['swol']"
"蚊","['mwun']"
"蠅","['suG']"
"蝸","['Gwa']"
"蛭","['til']"
"蛆","['cye']"
"蚤","['cwo']"
"蟣","['kuy']"
"蝨","['sul']"
"稟","['phwum']"
"質","['cil']"
"蠢","['cyun']"
"蚑","['ki']"
"乃","['nay']"
"是","['si', 'si']"
"蟲","['thyuG']"
"豸","['thi']"
"於","['Ge']"
"諸","['cyey']"
"庶","['sye']"
"倫","['lyun']"
"主","['cyu']"
"張","['tyaG']"
"唯","['Gyu']"
"人","['Gin']"
"國","['kwuk']"
"家","['ka']"
"君","['kwun']"
"臣","['sin']"
"公","['kwoG', 'kwoG']"
"卿","['kyeG']"
"士","['so', 'so']"
"民","['min']"
"男","['nam']"
"女","['nye']"
"老","['lwo']"
"幼","['Gyu']"
"兒","['zo']"
"童","['twoG']"
"翁","['GwoG']"
"叟","['swu']"
"賓","['pin']"
"客","['koyk']"
"使","['si', 'so']"
"宦","['hwan', 'hwan']"
"朋","['puG']"
"友","['Gwu']"
"師","['so']"
"傅","['pwu']"
"儒","['Gyu']"
"胥","['sye', 'sye']"
"巫","['mwu']"
"醫","['Guy']"
"等","['tuG']"
