No,Group,Name,Div,Baxter,B (ASCII),Karlgren,Shao,Wang Li,Pulleyblank,Zhengzhang,Li Rong,Pan Wuyun,한국음 (종합),일본음(吳),일본음(漢),만다린 (종합),幇組,見組 등,精組,端組,來,娘,知組,莊組,章組
116,梗攝 eng,陌三合,3,jwæk,jwaek,iwɐk̚,iuak̚,ĭwɐk̚,wiajk̚,ˠwiæk̚,iuɐk̚,ʷᵚiak̚,역,waku?,weki?,"u,ü,i",,,,,,,,,
117,梗攝 eng,耕開,2,ɛng,eang,æŋ,ɐŋ,æŋ,əɨjŋ,ˠɛŋ,ɛŋ,ᵚæŋ,"ᄋᆡᆼ,영",yau,au,eng,eng,eng,,,,eng?,eng,eng,
118,梗攝 eng,耕合,2,wɛng,weang,wæŋ,uɐŋ,wæŋ,wəɨjŋ,ˠwɛŋ,uɛŋ,ʷᵚæŋ,욍,wyau?,wau,"ueng,eng",,ong,,,,,,,
119,梗攝 eng,麥開,2,ɛk,eak,æk̚,ɐk̚,æk̚,əɨjk̚,ˠɛk̚,ɛk̚,ᵚæk̚,"ᄋᆡᆨ,역",yaku,aku,"e,o",o ~ ai,e,,,,ㅁㄹ,ai,e ~ ai,
120,梗攝 eng,麥合,2,wɛk,weak,wæk̚,uɐk̚,wæk̚,wəɨjk̚,ˠwɛk̚,uɛk̚,ʷᵚæk̚,왹,wyaku,waku,"uo,o",,uo,,,,,,,
121,梗攝 eng,清開,3,jieng,jieng,i̯ɛŋ,iæŋ,ĭɛŋ,iajŋ,iᴇŋ,iɛŋ,iɛŋ,영,yau,ei,"ing,eng",ing,ing,ing,,ing,,eng,,eng
122,梗攝 eng,清合,3,jwieng,jwieng,i̯wɛŋ,iuæŋ,ĭwɛŋ,wiajŋ,wiᴇŋ,iuɛŋ,ʷiɛŋ,영,wyau,ei,"iong,ueng,ing",,ing,,,,,,,
123,梗攝 eng,昔開,3,jiek,jiek,i̯ɛk̚,iæk̚,ĭɛk̚,iajk̚,iᴇk̚,iɛk̚,iɛk̚,역,yaku,eki,i,i,i,i,,,,i,,i
124,梗攝 eng,昔合,3,jwiek,jwiek,i̯wɛk̚,iuæk̚,ĭwɛk̚,wiajk̚,wiᴇk̚,iuɛk̚,ʷiɛk̚,역,wyaku,weki?,"u,ü,i",,i,,,,,ㅁㄹ,,ㅁㄹ
125,梗攝 eng,青開,4,eng,eng,ieŋ,ɛŋ,ieŋ,ɛjŋ,eŋ,eŋ,eŋ,영,yau,ei,"ing,eng",ing,ing,ing,ing,ing,,,,
